builder,community_name,city,description,main_highlight,amenities,lenders,tags,youtube_url
Lennar,Rosedale Townes,"Wake Forest, NC",,"Desde $306,990",,Lennar Mortgage,townhomes,
Lennar,Cayden Cove - Summit Collection,"Wendell, NC",,"Desde $401,990",,Lennar Mortgage,single-family,
Lennar,Everlee Summit,"Raleigh, NC",,"Desde $393,990",,Lennar Mortgage,single-family,
Lennar,Elm Grove - Club Collection,"Raleigh, NC",,"Desde $341,900",,Lennar Mortgage,single-family,
Lennar,Rosedale - Cottage Collection,"Wake Forest, NC",,"Desde $378,990",,Lennar Mortgage,single-family,
Lennar,Stoneriver - Cottage Collection,"Knightdale, NC",,"Desde $424,990",,Lennar Mortgage,single-family,
Lennar,Marelli - Designer Collection,"Sanford, NC",,"Desde $235,990",,Lennar Mortgage,single-family,
Lennar,Carolina Springs - Sterling Collection,"Apex, NC",,"Desde $573,990",,Lennar Mortgage,single-family,
Lennar,Wesley Downs - Hanover Collection,"Durham, NC",,"Desde $390,990",,Lennar Mortgage,single-family,
Lennar,Mica Ridge Townes - Club Collection,"Durham, NC",,"Desde $328,990",,Lennar Mortgage,townhomes,
Lennar,Carolina Springs - Designer Collection,"Apex, NC",,"Desde $404,435",,Lennar Mortgage,single-family,
Lennar,Carolina Springs - Emory Collection,"Apex, NC",,"Desde $468,990",,Lennar Mortgage,single-family,
Lennar,Marelli - Venture Collection,"Sanford, NC",,"Desde $256,990",,Lennar Mortgage,single-family,
Lennar,Marelli - Carolina Collection,"Sanford, NC",,"Desde $324,685",,Lennar Mortgage,single-family,
Lennar,Retreat at Robertson - Summit Collection,"Knightdale, NC",,"Desde $393,990",,Lennar Mortgage,single-family,
Lennar,Overlook at Stoney Creek - Designer Collection,"Garner, NC",,"Desde $299,990",,Lennar Mortgage,single-family,
Lennar,Mica Ridge Townes - Venture Collection,"Durham, NC",,"Desde $354,990",,Lennar Mortgage,townhomes,
Lennar,Annandale - Summit Collection,"Garner, NC",,"Desde $406,990",,Lennar Mortgage,single-family,
Lennar,Sherri Downs - Hanover Collection,"Angier, NC",,"Desde $330,990",,Lennar Mortgage,single-family,
Lennar,Shaw Ridge,"Durham, NC",,"Desde $519,990",,Lennar Mortgage,single-family,
Lennar,Myrtle Meadows - Carolina Collection,"Angier, NC",,"Desde $308,430",,Lennar Mortgage,single-family,
Lennar,Stoneriver - Classic Collection,"Knightdale, NC",,"Desde $539,990",,Lennar Mortgage,single-family,
Lennar,Parker Ridge Townes - Venture Collection,"Rolesville, NC",,"Desde $293,990",,Lennar Mortgage,townhomes,
Lennar,Triple Crown - Summit Collection,"Durham, NC",,"Desde $456,990",,Lennar Mortgage,single-family,
Lennar,Rosedale - Classic Collection,"Wake Forest, NC",,"Desde $529,990",,Lennar Mortgage,single-family,
Lennar,Parker Ridge,"Rolesville, NC",,"Desde $417,990",,Lennar Mortgage,single-family,
Lennar,Mica Ridge,"Durham, NC",,"Desde $445,990",,Lennar Mortgage,single-family,
Lennar,Overlook at Stoney Creek - Club Collection,"Garner, NC",,"Desde $379,990",,Lennar Mortgage,single-family,
Lennar,Retreat at Robertson - Cottage Collection,"Knightdale, NC",,"Desde $322,990",,Lennar Mortgage,single-family,
Lennar,Caitlin Crossing - Hanover Collection,"Lillington, NC",,"Desde $304,235",,Lennar Mortgage,single-family,
Lennar,Stoneriver - Frazier Collection,"Knightdale, NC",,"Desde $370,990",,Lennar Mortgage,single-family,
Lennar,Triple Crown - Designer Collection,"Durham, NC",,"Desde $343,990",,Lennar Mortgage,single-family,
Lennar,Cayden Cove - Cottage Collection,"Wendell, NC",,"Desde $334,990",,Lennar Mortgage,single-family,
